epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
                      1,                 1.2265,                 2.1501,                 1.2117,                0.48163,                 0.0732,                0.07097,                0.04958,                 1.1863,                 2.8058,                0.79528,             0.00041543,             0.00041543,             0.00041543
                      2,                 1.2296,                 1.5258,                 1.2246,                  0.372,                0.02941,                 0.0349,                0.02163,                 1.1852,                 2.5053,                0.82588,             0.00081562,             0.00081562,             0.00081562
                      3,                  1.263,                 1.3721,                 1.2501,                0.37671,                 0.0393,                0.05141,                0.03427,                 1.2115,                 2.2978,                0.80282,              0.0011993,              0.0011993,              0.0011993
                      4,                 1.2251,                  1.237,                 1.2275,                0.49424,                0.04473,                 0.0649,                0.04096,                 1.1516,                 2.0059,                 0.7886,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.1958,                 1.1202,                 1.2107,                0.76783,                0.05078,                0.07255,                0.04637,                 1.0865,                  1.945,                0.75961,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.1574,                 1.0407,                  1.186,                0.79038,                0.12513,                0.16747,                0.12642,                 1.0484,                 1.4678,                0.73966,               0.001151,               0.001151,               0.001151
                      7,                 1.1136,                0.96946,                 1.1616,                0.81942,                0.17589,                0.21993,                0.16145,                 1.0023,                 1.5422,                0.72452,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.1037,                0.94969,                 1.1584,                0.85704,                0.18423,                0.21929,                0.16654,                 1.0021,                  1.422,                0.71818,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.0809,                0.88192,                 1.1434,                 0.8434,                 0.1192,                 0.1408,                0.10204,                0.99538,                 1.3825,                0.71707,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.0617,                0.85957,                 1.1339,                0.86442,                0.22293,                0.26361,                0.19244,                0.98145,                 1.4371,                0.71523,               0.001052,               0.001052,               0.001052
                     11,                 1.0364,                0.82735,                 1.1183,                 0.9018,                0.11445,                0.17119,                0.13758,                 0.9608,                 1.2401,                0.69441,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.0202,                0.79835,                 1.1082,                0.84126,                0.11161,                0.15062,                0.11607,                0.95957,                 1.2333,                 0.7064,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.0036,                0.77645,                 1.1043,                 0.9198,                0.34852,                0.41033,                0.31704,                0.93441,                 1.2084,                0.69036,             0.00097775,             0.00097775,             0.00097775
                     14,                0.99557,                0.74512,                 1.0986,                0.87343,                0.24541,                0.28029,                0.21523,                0.97218,                 1.1955,                0.69549,               0.000953,               0.000953,               0.000953
                     15,                0.98102,                0.72979,                 1.0936,                0.94758,                0.33345,                0.39393,                0.31133,                0.93212,                 1.1103,                0.69107,             0.00092825,             0.00092825,             0.00092825
                     16,                   1.01,                0.74156,                 1.1044,                0.84642,                0.17242,                0.20851,                0.15775,                0.90443,                 1.0792,                0.67734,              0.0009035,              0.0009035,              0.0009035
                     17,                0.95745,                0.69159,                 1.0779,                0.88892,                0.18091,                0.24703,                  0.203,                0.88867,                 1.0703,                0.67495,             0.00087875,             0.00087875,             0.00087875
                     18,                0.95547,                0.68059,                  1.074,                0.90988,                0.24368,                 0.2958,                0.22857,                0.91663,                 1.0668,                0.67902,               0.000854,               0.000854,               0.000854
                     19,                0.93964,                0.65932,                 1.0678,                0.96188,                0.46554,                0.52543,                0.40888,                0.89995,                 1.0301,                0.67655,             0.00082925,             0.00082925,             0.00082925
                     20,                0.92628,                0.64692,                 1.0602,                0.98176,                0.50846,                0.56769,                0.43289,                 0.9009,                0.98738,                0.67509,              0.0008045,              0.0008045,              0.0008045
                     21,                0.91582,                0.63281,                 1.0574,                0.94082,                0.55011,                0.60978,                0.48928,                 0.8803,                0.99533,                0.66408,             0.00077975,             0.00077975,             0.00077975
                     22,                0.89474,                0.60906,                 1.0451,                0.96749,                0.30954,                0.39473,                 0.3179,                0.88832,                 1.0103,                 0.6733,               0.000755,               0.000755,               0.000755
                     23,                0.88554,                0.59987,                 1.0394,                0.96416,                0.51158,                0.56984,                0.44249,                0.89493,                0.97707,                0.66707,             0.00073025,             0.00073025,             0.00073025
                     24,                0.87556,                0.59226,                 1.0359,                0.96575,                0.60061,                0.66071,                0.51414,                0.89328,                 0.9647,                0.67048,              0.0007055,              0.0007055,              0.0007055
                     25,                0.87037,                0.57647,                 1.0327,                0.97973,                0.51729,                0.56887,                0.45977,                 0.8651,                0.93212,                0.66109,             0.00068075,             0.00068075,             0.00068075
                     26,                0.85863,                0.56712,                 1.0292,                0.90397,                0.49789,                0.56993,                0.45196,                0.86615,                 1.0031,                0.66511,               0.000656,               0.000656,               0.000656
                     27,                0.91468,                0.60468,                 1.0559,                 0.9274,                0.44435,                0.50905,                0.40656,                0.86718,                 0.9441,                0.66395,             0.00063125,             0.00063125,             0.00063125
                     28,                0.83939,                0.55106,                 1.0193,                0.95513,                 0.4568,                0.52982,                0.43706,                 0.8773,                 0.9441,                0.66707,              0.0006065,              0.0006065,              0.0006065
                     29,                0.82935,                0.53458,                  1.013,                0.92591,                0.59679,                0.65376,                0.51598,                0.87829,                0.93591,                0.66731,             0.00058175,             0.00058175,             0.00058175
                     30,                0.81989,                0.53168,                 1.0083,                0.94481,                  0.543,                0.59713,                0.47479,                0.88291,                0.90176,                0.66676,               0.000557,               0.000557,               0.000557
                     31,                0.81788,                0.51794,                 1.0063,                0.94848,                0.66478,                0.70738,                0.56512,                0.87145,                0.90617,                 0.6583,             0.00053225,             0.00053225,             0.00053225
                     32,                0.79531,                0.50901,                0.99933,                0.94818,                0.60075,                0.67014,                0.52758,                0.86447,                0.88625,                0.65905,              0.0005075,              0.0005075,              0.0005075
                     33,                0.84832,                0.53289,                  1.022,                0.94649,                0.52322,                0.58545,                0.46219,                 0.8662,                0.89995,                0.66114,             0.00048275,             0.00048275,             0.00048275
